Meter;Tee;Fairway;Rough;Sand;Recovery
350;3,96;4,04;4,22;4,57;4,67
360;3,98;4,09;4,27;4,65;4,72
370;4;4,12;4,31;4,7;4,76
380;4,01;4,14;4,33;4,72;4,78
390;4,04;4,17;4,36;4,75;4,81
400;4,07;4,19;4,38;4,77;4,83
410;4,12;4,24;4,43;4,82;4,88
420;4,17;4,29;4,48;4,87;4,93
430;4,23;4,35;4,54;4,93;4,99
440;4,29;4,41;4,6;4,99;5,05
450;4,36;4,48;4,67;5,06;5,12
460;4,43;4,55;4,74;5,13;5,19
470;4,5;4,62;4,81;5,2;5,26
480;4,57;4,69;4,88;5,27;5,33
490;4,63;4,76;4,95;5,34;5,4
500;4,68;4,81;5;5,39;5,45
510;4,73;4,85;5,04;5,43;5,49
520;4,76;4,88;5,07;5,46;5,52
530;4,79;4,91;5,1;5,49;5,55
540;4,81;4,93;5,12;5,51;5,57
550;4,82;4,94;5,13;5,52;5,58
560;4,84;4,96;5,15;5,54;5,6
570;4,86;4,98;5,17;5,56;5,62
580;4,88;5;5,19;5,58;5,64
590;4,9;5,02;5,21;5,6;5,66
600;4,92;5,04;5,23;5,62;5,68
610;4,94;5,06;5,25;5,64;5,7
620;4,96;5,08;5,27;5,66;5,72
630;4,98;5,1;5,29;5,68;5,74
640;5;5,12;5,31;5,7;5,76
650;5,02;5,14;5,33;5,72;5,78
